,url,headline,is_paid,date_published,channel,original_headline,newspaper,corona_score,vaccine
0,https://www.spiegel.de/politik/ausland/us-aussenminister-anthony-blinken-stellt-eu-bei-bruessel-besuch-enge-zusammenarbeit-in-aussicht-a-d45a5488-2342-4674-baf0-98b5c3dc96ee,gespräche brüssel blinken stellen eu eng zusammenarbeit aussicht,False,2021-03-24,Politik,Gespräche in Brüssel Blinken stellt EU enge Zusammenarbeit in Aussicht,Der Spiegel,0.875,n/a
2,https://www.spiegel.de/politik/ausland/usa-joe-biden-betraut-stellvertreterin-kamala-harris-mit-loesung-der-einwanderungsfrage-a-dc96970e-0a22-405a-8201-80ee7b404b0d,herausfordernde situation harris illegale migration grenze kümmern,False,2021-03-24,Politik,Herausfordernde Situation Harris soll sich um illegale Migration an der Grenze kümmern,Der Spiegel,0.8571428571428571,n/a
9,https://www.spiegel.de/politik/deutschland/kanzlerin-angela-merkel-will-die-vertrauensfrage-nicht-stellen-a-90c8559b-2c06-41d0-a5eb-73bc4252feb2,tun merkel lehnen vertrauensfrage ab,False,2021-03-24,Politik,Das werde ich nicht tun Merkel lehnt Vertrauensfrage ab,Der Spiegel,1.0,n/a
10,https://www.spiegel.de/wissenschaft/medizin/corona-daenemark-will-shutdown-beenden-wenn-alle-ueber-50-jahren-geimpft-sind-ist-das-gefaehrlich-a-6d583a04-2362-486a-b333-337b6338ed68,dänemarks strategie check riskant shutdown ende 50 jährig impfen,False,2021-03-24,Wissenschaft,Dänemarks Strategie im Check Wie riskant ist das Shutdown Ende wenn alle über 50 Jährigen geimpft sind,Der Spiegel,1.0,n/a
11,https://www.spiegel.de/panorama/bundestag-beraet-ueber-neues-v-mann-gesetz-a-39e6381d-b4c6-44ca-8208-397a0a4066f5,kriminalität bundestag beraten neu v mann gesetz,False,2021-03-24,Panorama,Kriminalität Bundestag berät über neues V Mann Gesetz,Der Spiegel,0.8571428571428571,n/a
12,https://www.spiegel.de/politik/deutschland/astrazeneca-corona-impfstoff-in-italien-gefunden-die-29-millionen-dosen-bombe-a-74080f86-376c-41e7-a149-8946d0b2c6a2,impfstoff fund italien 29 millionen dosen bomben,False,2021-03-24,Politik,Impfstoff Fund in Italien Die 29 Millionen Dosen Bombe,Der Spiegel,0.7142857142857143,n/a
13,https://www.spiegel.de/politik/ausland/brasilien-jair-bolsonaro-bildet-nun-doch-corona-krisenstab-a-fc775fe1-5beb-4df4-8a99-b57933d6f0e3,pandemie brasilien bolsonaro bilden corona krisenstab,False,2021-03-24,Politik,Pandemie in Brasilien Bolsonaro bildet nun doch Corona Krisenstab,Der Spiegel,1.0,n/a
16,https://www.spiegel.de/politik/deutschland/es-bleibt-nur-der-abzug-a-16b997d0-8c61-4a72-873f-e03f19d2599d,bundeswehr afghanistan bleiben abzug,False,2021-03-24,Politik,Bundeswehr in Afghanistan Es bleibt nur der Abzug,Der Spiegel,0.75,n/a
19,https://www.spiegel.de/panorama/major-und-champ-ziehen-erneut-in-weisses-haus-a-e49ee00c-670c-4062-8c9d-cf90336d9922,hunde präsident biden zurück major champ ziehen erneut weiß haus,False,2021-03-24,Panorama,Hunde von Präsident Biden wieder zurück Major und Champ ziehen erneut in Weißes Haus,Der Spiegel,0.7,n/a
22,https://www.spiegel.de/politik/deutschland/umfrage-zur-bundestagswahl-2021-gruene-verringern-abstand-zur-union-a-a82da5f3-eede-44b5-95d0-e9bcdae5e1a9,spiegel umfrage grüne verringern abstand union,False,2021-03-24,Politik,SPIEGEL Umfrage Grüne verringern Abstand zur Union,Der Spiegel,1.0,n/a
24,https://www.spiegel.de/politik/deutschland/news-des-tages-angela-merkel-benjamin-netanyahu-unsere-muetter-unsere-vaeter-a-0f19a770-d146-4339-8cf3-d1f82a0785b7,lage abend fehler tadel,False,2021-03-24,Politik,Die Lage am Abend Mit Fehler und Tadel,Der Spiegel,0.75,n/a
27,https://www.spiegel.de/panorama/mallorca-geplatzte-auswanderer-traeume-neue-armut-auf-der-urlaubs-insel-spiegel-tv-a-245976ea-5655-4d1c-a35c-0aaed0cd816c,geplatzt auswandererträume neue armut mallorca,False,2021-03-24,Panorama,Geplatzte Auswandererträume Neue Armut auf Mallorca,Der Spiegel,0.6,n/a
28,https://www.spiegel.de/wissenschaft/medizin/corona-koennte-tinnitus-ausloesen-oder-verschlimmern-a-2fb4f171-3679-464d-a569-8de9d27417c4,langzeitfolgen corona tinnitus auslösen verschlimmern,False,2021-03-24,Wissenschaft,Langzeitfolgen Corona könnte Tinnitus auslösen oder verschlimmern,Der Spiegel,1.0,n/a
31,https://www.spiegel.de/kultur/angela-merkel-entschuldigt-sich-ein-befreiungsschlag-a-eff4c41d-4691-4c03-919d-aca08beebb79,merkel entschuldigen mensch,False,2021-03-24,Kultur,Merkel entschuldigt sich Auch nur ein Mensch,Der Spiegel,1.0,n/a
33,https://www.spiegel.de/panorama/leute/gericht-erklaert-daniel-kueblboeck-fuer-tot-a-588c2bda-873a-4fa1-91f0-17b7f2533bf8,verschollen sänger gericht erklären daniel küblböck tot,False,2021-03-24,Panorama,Verschollener Sänger Gericht erklärt Daniel Küblböck für tot,Der Spiegel,0.5714285714285714,n/a
38,https://www.spiegel.de/politik/deutschland/syrien-deutsche-is-rueckkehrerin-am-berliner-flughafen-festgenommen-a-721fef07-6ef3-426c-8e90-6b0324dcc991,flughafen berlin deutsch is rückkehrerin festnehmen,False,2021-03-24,Politik,Am Flughafen Berlin Deutsche IS Rückkehrerin festgenommen,Der Spiegel,0.8333333333333334,n/a
39,https://www.spiegel.de/panorama/ns-verfolgte-und-nachkommen-sollen-leichter-deutschen-pass-bekommen-a-ec5a3b7a-c103-4834-8cb7-51497c32144b,entschuldigung tief scham ns verfolgen nachkommen sollen leicht deutsch pass bekommen,False,2021-03-24,Panorama,Entschuldigung in tiefer Scham NS Verfolgte und Nachkommen sollen leichter deutschen Pass bekommen,Der Spiegel,0.5454545454545454,n/a
40,https://www.spiegel.de/politik/ausland/slowakei-minister-treten-im-streit-um-corona-krisenmanagement-zurueck-a-07a8fe57-8e37-4b87-8d58-d9f3afbd51d3,regierung zerfallen slowakische minister treten streit coronakrisenmanagement zurück,False,2021-03-24,Politik,Regierung zerfällt Slowakische Minister treten im Streit über Coronakrisenmanagement zurück,Der Spiegel,0.625,n/a
41,https://www.spiegel.de/politik/deutschland/angela-merkel-kippt-eigenen-osterruhe-beschluss-die-corona-notbremse-a-522cf006-ac3e-4e04-8b6b-39eff1d412c1,kanzlerin kippen eigene corona entscheidung merkels manöver folgen,False,2021-03-24,Politik,Kanzlerin kippt eigene Corona Entscheidung Merkels Manöver und die Folgen,Der Spiegel,1.0,n/a
43,https://www.spiegel.de/panorama/pforzheim-unterrichtsstunde-zum-thema-brennen-und-loeschen-loest-brand-an-grundschule-aus-a-dd8b04bb-69ed-49ac-9b3b-14f3277246ae,pforzheim feuer brechen klassenzimmer schulpersonal löschen brand,False,2021-03-24,Panorama,Pforzheim Feuer bricht in Klassenzimmer aus   Schulpersonal löscht Brand,Der Spiegel,0.7142857142857143,n/a
44,https://www.spiegel.de/panorama/justiz/bushido-berichtet-von-panikattacken-ich-habe-alles-getan-damit-es-nicht-auffaellt-a-ce5aacc2-efc8-494e-9e20-671ece627078,tun auffallen bushido berichten panikattacken,False,2021-03-24,Panorama,Alles getan damit es nicht auffällt Bushido berichtet von Panikattacken,Der Spiegel,0.6,n/a
46,https://www.spiegel.de/wissenschaft/medizin/deutschland-mann-infiziert-sich-mit-seltenem-tulavirus-a-5deddb52-5a6c-414b-bdbd-e6e0a17f24a7,deutschland mann infizieren selten tulavirus,False,2021-03-24,Wissenschaft,Deutschland Mann infiziert sich mit seltenem Tulavirus,Der Spiegel,0.8,n/a
51,https://www.spiegel.de/netzwelt/netzpolitik/corona-politik-wir-brauchen-ein-misstrauensvotum-durch-die-bevoelkerung-kolumne-a-b57ee545-cc52-49bc-a009-4fe06c3b3c67,politikerversagen pandemie lasst regierung misstrauen erklären,False,2021-03-24,Netzwelt,Politikerversagen in der Pandemie Lasst uns dieser Regierung das Misstrauen erklären,Der Spiegel,1.0,n/a
54,https://www.spiegel.de/wirtschaft/unternehmen/diesel-prozess-gegen-martin-winterkorn-erneut-verschoben-a-ef0dbb30-248a-40ec-8a6a-127404a8c280,ex vw chef diesel prozess winterkorn erneut verschieben,False,2021-03-24,Wirtschaft,Ex VW Chef Diesel Prozess gegen Winterkorn erneut verschoben,Der Spiegel,0.625,n/a
55,https://www.spiegel.de/panorama/bildung/corona-folgen-fdp-fordert-krisengipfel-zu-kindern-und-jugendlichen-a-390e23d4-94eb-4ec1-bea0-0d2486a3ef3a,diskussion coronafolgen fdp fordern krisengipfel kindern jugendlich,False,2021-03-24,Panorama,Diskussion über Coronafolgen FDP fordert Krisengipfel zu Kindern und Jugendlichen,Der Spiegel,0.8571428571428571,n/a
56,https://www.spiegel.de/panorama/justiz/celle-bundesverfassungsgericht-soll-ueber-zulaessigkeit-von-mit-eltern-entscheiden-a-fed1c3b5-9cf4-48bb-8563-3bf67474b2e0,zwei mütter bundesverfassungsgericht zulässigkeit miteltern entscheiden,False,2021-03-24,Panorama,Zwei Mütter Bundesverfassungsgericht soll über Zulässigkeit von Miteltern entscheiden,Der Spiegel,0.6666666666666666,n/a
57,https://www.spiegel.de/politik/deutschland/wirtschaft-zeigt-sich-erleichtert-ueber-merkels-rueckzieher-a-4490636f-b427-4c41-9e52-89de3803d3ea,reaktionen osterkehrtwende wirtschaft zeigen erleichtern merkels rückzieher,False,2021-03-24,Politik,Reaktionen auf Osterkehrtwende Wirtschaft zeigt sich erleichtert über Merkels Rückzieher,Der Spiegel,0.7142857142857143,n/a
58,https://www.spiegel.de/politik/deutschland/merkel-will-mallorca-reisen-erschweren-a-f9263a87-cb51-4c74-aba5-95fbc39844f8,urlaub pandemie merkel mallorca reisen erschweren,False,2021-03-24,Politik,Urlaub während der Pandemie Merkel will Mallorca Reisen erschweren,Der Spiegel,1.0,n/a
61,https://www.spiegel.de/politik/deutschland/kanzlerin-angela-merkel-will-verantwortung-fuer-selbsttests-an-schulen-nicht-uebernehmen-a-4283dfb6-4634-4101-96eb-a2fbe151fd96,regierungsbefragung merkel verteidigen bund länder runden,False,2021-03-24,Politik,In Regierungsbefragung Merkel verteidigt Bund Länder Runde,Der Spiegel,1.0,n/a
62,https://www.spiegel.de/politik/deutschland/corona-das-sagt-markus-soeder-nach-der-videoschalte-mit-der-kanzlerin-livestream-a-c209434c-40c1-4816-b0fc-f8ba30478304,regierungserklärung sagen markus söder videoschalte kanzlerin,False,2021-03-24,Politik,Regierungserklärung Das sagt Markus Söder nach der Videoschalte mit der Kanzlerin,Der Spiegel,0.8333333333333334,n/a
64,https://www.spiegel.de/politik/ausland/eu-und-grossbritannien-nach-dem-brexit-die-einen-sticheln-die-anderen-drohen-a-91cbe06f-c642-4f42-9396-35ec3dda96b6,eu briten brexit sticheln drohen,False,2021-03-24,Politik,EU und Briten nach dem Brexit Die einen sticheln die anderen drohen,Der Spiegel,0.8,n/a
65,https://www.spiegel.de/politik/deutschland/angela-merkel-zum-stopp-der-osterruhe-das-war-einzig-und-allein-mein-fehler-a-ef5727e2-a3fe-4a4a-b9a5-f45167c66e29,angela merkel stopp osterruhe bitte bürgerinnen bürger verzeihung,False,2021-03-24,Politik,Angela Merkel zum Stopp der Osterruhe Ich bitte alle Bürgerinnen und Bürger um Verzeihung,Der Spiegel,1.0,n/a
68,https://www.spiegel.de/politik/ausland/nordkorea-was-die-raketentests-und-drohungen-des-kim-regimes-bedeuten-a-44ef65ac-6723-46f4-b139-4ec64e162c74,beziehung usa nordkorea raketentests drohungen kim regimes bedeuten,False,2021-03-24,Politik,Beziehung zwischen USA und Nordkorea Was die Raketentests und Drohungen des Kim Regimes bedeuten,Der Spiegel,0.625,n/a
70,https://www.spiegel.de/politik/angela-merkel-ich-bitte-alle-buergerinnen-und-buerger-um-verzeihung-a-ee5315c0-1766-4f33-93ff-4f0421d00b03,merkels erklärung wortlaut bitte bürgerinnen bürger verzeihung,False,2021-03-24,Politik,Merkels Erklärung im Wortlaut Ich bitte alle Bürgerinnen und Bürger um Verzeihung,Der Spiegel,0.7142857142857143,n/a
72,https://www.spiegel.de/panorama/justiz/stalking-opfer-sollen-mit-gesetzesverschaerfung-besser-geschuetzt-werden-a-2eb85fca-acc9-4fe9-bdaf-c14ad6d7e8e8,gesetzesverschärfung regierung stalkingopfer gut schützen,False,2021-03-24,Panorama,Gesetzesverschärfung Regierung will Stalkingopfer besser schützen,Der Spiegel,0.6,n/a
74,https://www.spiegel.de/politik/ausland/silvio-berlusconi-erneut-im-krankenhaus-a-53777247-4909-48a2-a00b-edc57ce58402,italiens ex premier berlusconi erneut krankenhaus,False,2021-03-24,Politik,Italiens Ex Premier Berlusconi erneut im Krankenhaus,Der Spiegel,0.6666666666666666,n/a
75,https://www.spiegel.de/politik/deutschland/corona-regierungsbefragung-mit-angela-merkel-livestream-a-e1ec264e-b729-4259-a597-3e60b8699829,bundestag regierungsbefragung kanzlerin merkel,False,2021-03-24,Politik,Bundestag Regierungsbefragung mit Kanzlerin Merkel,Der Spiegel,1.0,n/a
77,https://www.spiegel.de/panorama/gesellschaft/triage-in-der-corona-pandemie-strafrechtlerin-fordert-neues-gesetz-a-3650bc0e-1c32-4b88-80e7-f473cf7aee8f,rechtswissenschaftlerin triage pandemie drohen ärzten anklagen wegen totschlags,False,2021-03-24,Panorama,Rechtswissenschaftlerin über Triage in der Pandemie Droht Ärzten eine Anklage wegen Totschlags,Der Spiegel,1.0,n/a
79,https://www.spiegel.de/politik/deutschland/angela-merkel-zur-gekippten-osterruhe-das-war-ein-fehler-a-d5738414-5ece-4936-ba71-0fdfbd65f843,merkel gekippt osterruhe fehler einzig allein fehler,False,2021-03-24,Politik,Merkel über gekippte Osterruhe Dieser Fehler ist einzig und allein mein Fehler,Der Spiegel,1.0,n/a
84,https://www.spiegel.de/wissenschaft/medizin/denguefieber-ausbruch-in-peru-kommt-waehrend-neuer-coronawelle-a-27b1031b-0235-456f-8118-ad6bf4bc8024,coronawelle schwer denguefieber ausbruch peru,False,2021-03-24,Wissenschaft,Während Coronawelle Schwerer Denguefieber Ausbruch in Peru,Der Spiegel,0.6,n/a
86,https://www.spiegel.de/wirtschaft/unternehmen/astrazeneca-hortet-offenbar-fast-30-millionen-impfdosen-in-italien-a-7e947875-9b3f-4b74-b00a-ba27ec1c234c,medienbericht astrazeneca horten offenbaren fast 30 millionen impfdosen italien,False,2021-03-24,Wirtschaft,Medienbericht AstraZeneca hortet offenbar fast 30 Millionen Impfdosen in Italien,Der Spiegel,1.0,n/a
87,https://www.spiegel.de/politik/ausland/wahl-in-israel-benjamin-netanyahu-fuehrt-mit-likud-fuenfte-wahl-trotzdem-moeglich-a-82076777-aea7-49fa-97db-669b42effded,wahl israel netanyahu erst zweit dritt viert fünft,False,2021-03-24,Politik,Wahl in Israel Netanyahu zum Ersten Zweiten Dritten Vierten   und Fünften,Der Spiegel,0.75,n/a
90,https://www.spiegel.de/panorama/leute/justin-bieber-grenzen-fuer-mein-wachstum-als-mensch-entscheidend-a-aaf1aeee-133a-4c01-afab-b11f802376cb,justin bieber eigene entwicklung grenzen wachstum mensch entscheiden,False,2021-03-24,Panorama,Justin Bieber über eigene Entwicklung Grenzen für mein Wachstum als Mensch entscheidend,Der Spiegel,0.75,n/a
91,https://www.spiegel.de/netzwelt/apps/facebook-wehrt-sich-gegen-auflagen-des-bundeskartellamts-a-3d8f2819-03d0-44f3-90dd-dda20168b354,einschränkung datensammlung facebook wehren auflagen bundeskartellamts,False,2021-03-24,Netzwelt,Einschränkung der Datensammlung Facebook wehrt sich gegen Auflagen des Bundeskartellamts,Der Spiegel,0.6666666666666666,n/a
92,https://www.spiegel.de/politik/deutschland/bodo-ramelow-ueber-corona-schalte-was-passiert-hier-eigentlich-a-e2762052-f1fc-4a0a-91ea-1769da7ddd41,ramelow bund länder runden fragen eigentlich passieren,False,2021-03-24,Politik,Ramelow über Bund Länder Runde Ich habe mich gefragt was hier eigentlich passiert,Der Spiegel,1.0,n/a
93,https://www.spiegel.de/politik/deutschland/corona-angela-merkel-macht-osterruhe-rueckgaengig-a-c8e8ef28-4a8e-4836-8670-829efd9dda5c,fehler merkel machen osterruhe rückgängig,False,2021-03-24,Politik,War mein Fehler Merkel macht Osterruhe rückgängig,Der Spiegel,1.0,n/a
95,https://www.spiegel.de/wirtschaft/service/coronakrise-laesst-realloehne-in-deutschland-erstmals-seit-2007-sinken-a-31054dc5-550a-4e7d-823c-29021db6f156,folgen kurzarbeit coronakrise lässt reallöhne deutschland erstmals seit 2007 sinken,False,2021-03-24,Wirtschaft,Folge der Kurzarbeit Coronakrise lässt Reallöhne in Deutschland erstmals seit 2007 sinken,Der Spiegel,0.8,n/a
99,https://www.spiegel.de/politik/deutschland/corona-angela-merkel-beraet-kurzfristig-erneut-mit-ministerpraesidenten-a-51db8bf3-1660-4689-a132-10b9004362ad,kritik coronabeschlüssen merkel beraten erneut länderchefs,False,2021-03-24,Politik,Nach Kritik an Coronabeschlüssen Merkel berät erneut mit Länderchefs,Der Spiegel,1.0,n/a
100,https://www.spiegel.de/politik/deutschland/corona-das-sagt-armin-laschet-zu-den-massnahmen-a-9bf2b3eb-649c-42a5-b721-86edf27a267a,parlamentsrede sagen armin laschet coronamaßnahmen,False,2021-03-24,Politik,Parlamentsrede Das sagt Armin Laschet zu den Coronamaßnahmen,Der Spiegel,0.8,n/a
110,https://www.spiegel.de/reise/mallorca-nach-der-wiedereroeffnung-des-tourismus-klar-ist-es-ein-bisschen-egoistisch-a-d5495b5e-68ba-4b27-885d-a5467d9fe4bb,mallorca wiedereröffnung tourismus klaren bisschen egoistisch,False,2021-03-24,Reise,Mallorca nach der Wiedereröffnung des Tourismus Klar ist es ein bisschen egoistisch,Der Spiegel,0.8333333333333334,n/a
112,https://www.spiegel.de/politik/ausland/eu-parlament-verweigert-bestaetigung-des-budgets-von-frontex-a-5cd2e9bd-7dea-45f9-a9b2-5259ede702c4,wegen illegal pushbacks eu parlament verweigern bestätigung budgets frontex,False,2021-03-24,Politik,Wegen illegaler Pushbacks EU Parlament verweigert Bestätigung des Budgets von Frontex,Der Spiegel,0.5555555555555556,n/a
114,https://www.spiegel.de/wirtschaft/unternehmen/aktienhandel-us-broker-robinhood-stellt-weichen-fuer-eigenen-boersengang-a-55e7e346-5b24-4a3b-96dc-e1d021e8e872,umstritten geschäftsmodell us broker robinhood stellen weich eigen börsengang,False,2021-03-24,Wirtschaft,Umstrittenes Geschäftsmodell US Broker Robinhood stellt Weichen für eigenen Börsengang,Der Spiegel,0.5555555555555556,n/a
115,https://www.spiegel.de/politik/deutschland/blinken-nutzt-kurzes-zweiertreffen-mit-maas-fuer-kritik-an-nord-stream-2-a-8a0a0b00-9a9e-4858-b241-5475ab1e56cf,us außenminister blinken nutzen kurz zweiertreffen maas kritik nord stream 2,False,2021-03-24,Politik,US Außenminister Blinken nutzt kurzes Zweiertreffen mit Maas für Kritik an Nord Stream 2,Der Spiegel,0.8181818181818182,n/a
116,https://www.spiegel.de/politik/ausland/myanmar-militaerjunta-entlaesst-als-600-demonstranten-aus-gefaengnis-a-123cf339-3ce1-4a50-bd22-f266f68ef66a,demonstrationen festnehmen myanmars militärjunta lässt 600 inhaftieren frei,False,2021-03-24,Politik,Bei Demonstrationen festgenommen Myanmars Militärjunta lässt 600 Inhaftierte frei,Der Spiegel,0.625,n/a
117,https://www.spiegel.de/politik/ausland/corona-kanzler-sebastian-kurz-verlangt-korrektur-der-impfstoff-verteilung-in-der-eu-a-d2b1492c-6a35-48e6-bb51-82378350e53f,kluft innerhalb europäisch union kurz verlangen korrektur impfstoffverteilung,False,2021-03-24,Politik,Kluft innerhalb der Europäischen Union Kurz verlangt Korrektur der Impfstoffverteilung,Der Spiegel,0.75,n/a
118,https://www.spiegel.de/wirtschaft/corona-krise-institut-der-deutschen-wirtschaft-senkt-konjunkturprognose-a-50e9dddf-a4c0-4879-877f-9ecbb90ecdd6,corona sorgen institut deutsch wirtschaft senken konjunkturprognose,False,2021-03-24,Wirtschaft,Corona Sorgen Institut der deutschen Wirtschaft senkt Konjunkturprognose,Der Spiegel,1.0,n/a
120,https://www.spiegel.de/wissenschaft/medizin/corona-news-am-mittwoch-die-wichtigsten-entwicklungen-zu-sars-cov-2-und-covid-19-a-621a5985-b2f3-4370-a0b6-297e744e6852,corona news mittwoch österreich beschließen oster lockdown wien regionen,False,2021-03-24,Wissenschaft, Corona News am Mittwoch  Österreich beschließt Oster Lockdown für Wien und andere Regionen,Der Spiegel,1.0,n/a
121,https://www.spiegel.de/politik/ausland/nordkorea-testet-raketen-usa-geben-sich-entspannt-a-dca235ca-d767-4100-a79d-92d3bb6ffdde,atomstreit nordkorea testen raketen usa geben entspannen,False,2021-03-24,Politik,Atomstreit Nordkorea testet Raketen   USA geben sich entspannt,Der Spiegel,0.7142857142857143,n/a
122,https://www.spiegel.de/auto/fahrberichte/cabrio-neuheiten-2021-viel-luft-nach-oben-a-28716405-18f1-4d93-ac16-78f1f5858696,cabrios krise luft oben,False,2021-03-24,Mobilität,Cabrios in der Krise Viel Luft nach oben,Der Spiegel,0.75,n/a
123,https://www.spiegel.de/wissenschaft/wann-werden-kinder-geimpft-podcast-kopie-a-2d69ddde-a1ae-4f01-bbcc-39e3b15ac280,spiegel daily podcast wann kommen coronaimpfung kinder wenns gut laufen 2022,False,2021-03-24,Wissenschaft,SPIEGEL Daily Podcast Wann kommt die Coronaimpfung für Kinder Wenns gut läuft 2022,Der Spiegel,0.7272727272727273,n/a
124,https://www.spiegel.de/politik/deutschland/corona-krise-horst-seehofer-kritisiert-oster-beschluesse-zu-kirchen-scharf-a-95a33584-1ff1-4bbb-97ed-06e6074b878d,streitthema gottesdienste seehofer kritisieren osterbeschlüsse bund ländern scharf,False,2021-03-24,Politik,Streitthema Gottesdienste Seehofer kritisiert Osterbeschlüsse von Bund und Ländern scharf,Der Spiegel,0.75,n/a
128,https://www.spiegel.de/wirtschaft/soziales/corona-die-pandemie-trifft-einkommensgruppen-unterschiedlich-a-2f3c86da-712c-4493-a672-202996a5f175,corona verschieden einkommensgruppen virus egal arm reichen,False,2021-03-24,Wirtschaft,Corona in verschiedenen Einkommensgruppen Ist es dem Virus egal wie arm oder reich man ist,Der Spiegel,1.0,n/a
129,https://www.spiegel.de/wirtschaft/norwegischer-staatsfonds-was-anleger-von-nicolai-tangen-lernen-koennen-a-c8554dd9-d365-44cc-8369-c4370795b0a7,chef norwegisch staatsfonds 1000 milliarden euro mann lernen,False,2021-03-24,Wirtschaft,Chef des norwegischen Staatsfonds Was Sie vom 1000 Milliarden Euro Mann lernen können,Der Spiegel,0.75,n/a
130,https://www.spiegel.de/reise/luxustourismus-trotz-corona-der-tegernsee-wird-das-neue-sylt-a-4b6559e2-3631-4eba-968e-18a1e6510072,luxustourismus trotzen corona tegernsee neue sylt,False,2021-03-24,Reise,Luxustourismus trotz Corona Der Tegernsee wird das neue Sylt,Der Spiegel,1.0,n/a
131,https://www.spiegel.de/netzwelt/web/twitter-erster-tweet-der-welt-fuer-2-9-millionen-us-dollar-versteigert-a-e58bf81b-4486-453b-adae-a4e12eb3b5e9,24 zeichen erst tweet welt bringen auktion fast drei millionen dollar,False,2021-03-24,Netzwelt,24 Zeichen Erster Tweet der Welt bringt bei Auktion fast drei Millionen Dollar,Der Spiegel,0.8181818181818182,n/a
133,https://www.spiegel.de/wirtschaft/unternehmen/gamestop-umsatz-sinkt-das-neunte-quartal-infolge-a-ce50b424-ae43-4dae-89b3-105898ff4e9f,us videospielhändler umsatz gamestop sinken neunte quartal folgen,False,2021-03-24,Wirtschaft,US Videospielhändler Umsatz von GameStop sinkt das neunte Quartal in Folge,Der Spiegel,0.625,n/a
137,https://www.spiegel.de/politik/deutschland/bernd-sibler-muss-500-euro-bussgeld-wegen-geburtstagsfotos-zahlen-a-0b7689fe-efd6-45c2-a705-9bf148eada85,verstoß corona regeln bayerns wissenschaftsminister 500 euro bußgeld zahlen,False,2021-03-25,Politik,Verstoß gegen Corona Regeln Bayerns Wissenschaftsminister muss 500 Euro Bußgeld zahlen,Der Spiegel,1.0,n/a
138,https://www.spiegel.de/politik/deutschland/maskenaffaere-ermittler-finden-im-fall-mark-hauptmann-hinweis-auf-geschaefte-ueber-7-5-millionen-euro-a-ccd33aa5-869d-468f-9426-d9d012c4b026,maskenaffäre cdu csu ermittler finden hinweis geschäfte 75 millionen euro,False,2021-03-25,Politik,Maskenaffäre von CDU und CSU Ermittler finden Hinweis auf Geschäfte über 75 Millionen Euro,Der Spiegel,0.9,n/a
141,https://www.spiegel.de/politik/deutschland/annalena-baerbock-robert-habeck-und-die-gruenen-k-frage-ein-kleiner-stich-ins-herz-a-b09924a5-34ca-45af-9624-b82905eb73cd,grün doppelspitze k fragen verzicht kanzlerkandidatur sein baerbock klein stechen herz,False,2021-03-25,Politik,Grünen Doppelspitze und die K Frage Verzicht auf Kanzlerkandidatur wäre für Baerbock ein kleiner Stich ins Herz,Der Spiegel,0.8181818181818182,n/a
146,https://www.spiegel.de/gesundheit/saarlands-corona-oeffnungsstrategie-zum-scheitern-verurteilt-a-272c6b0b-a732-4213-9ba2-78bd6a494fb8,ende lockdowns ostern saarlands öffnungsstrategie halten,False,2021-03-25,Gesundheit,Ende des Lockdowns nach Ostern Was von Saarlands Öffnungsstrategie zu halten ist,Der Spiegel,0.6666666666666666,n/a
149,https://www.spiegel.de/wirtschaft/elon-musk-vs-frontal21-wenn-sich-mit-dem-zdf-ueber-wasser-streitet-a-75324c40-72c1-45cd-ac72-b444a3664c29,schlagabtausch frontal21 tesla chef musk zdf streiten,False,2021-03-25,Wirtschaft,Schlagabtausch mit Frontal21 Wenn sich Tesla Chef Musk mit dem ZDF streitet,Der Spiegel,0.5714285714285714,n/a
152,https://www.spiegel.de/panorama/bildung/stiftung-lesen-warnt-vor-benachteiligung-bildungsferner-haushalte-durch-digitalisierung-a-c4e3c3f1-a5f3-4d23-91af-f8ed64422bef,umfrage stiftung lesen warnen benachteiligung bildungsferner haushalte digitalisierung,False,2021-03-25,Panorama,Umfrage Stiftung Lesen warnt vor Benachteiligung bildungsferner Haushalte durch Digitalisierung,Der Spiegel,0.625,n/a
153,https://www.spiegel.de/politik/ausland/fluechtlinge-auf-lesbos-verzweiflungstat-in-zelt-959-a-3dc0137c-c7ff-4dfa-8fd9-385914392d46,geschehen beim brand flüchtlingslager lesbos verzweiflungstat zelt 959,False,2021-03-25,Politik,Was geschah beim Brand im Flüchtlingslager auf Lesbos Verzweiflungstat in Zelt 959,Der Spiegel,0.625,n/a
154,https://www.spiegel.de/psychologie/selbsttaeuschung-menschen-pflegen-illusionen-darueber-wie-attraktiv-sie-sind-a-91f0b0b8-8ea5-47e2-a827-a7628d8d4f14,psychologie selbsttäuschung menschen pflegen illusionen darüber attraktiv,False,2021-03-25,Psychologie,Psychologie der Selbsttäuschung Menschen pflegen Illusionen darüber wie attraktiv sie sind,Der Spiegel,0.5714285714285714,n/a
157,https://www.spiegel.de/netzwelt/web/facebook-prominenten-den-tod-zu-wuenschen-ist-erlaubt-a-901ce6a8-2e12-4abb-bee7-2356e373258b,interne vorgaben prominent tod wünschen facebook erlauben,False,2021-03-25,Netzwelt,Interne Vorgaben Prominenten den Tod zu wünschen ist auf Facebook erlaubt,Der Spiegel,0.8571428571428571,n/a
